file,category,row,column,source_cell_x,source_cell_y,source_cell_width,source_cell_height,trimmed_source_bbox,output_width,output_height,scale
sprites_3x/character/character_r01_c01_3x.png,character,1,1,8,7,73,88,"16,11,67,89",153,234,3
sprites_3x/character/character_r01_c02_3x.png,character,1,2,84,7,73,88,"95,13,144,89",147,228,3
sprites_3x/character/character_r01_c03_3x.png,character,1,3,160,7,75,88,"175,11,225,89",150,234,3
sprites_3x/character/character_r01_c04_3x.png,character,1,4,238,7,75,88,"250,11,304,87",162,228,3
sprites_3x/character/character_r01_c05_3x.png,character,1,5,316,7,77,88,"327,9,385,82",174,219,3
sprites_3x/character/character_r01_c06_3x.png,character,1,6,396,7,73,88,"407,13,462,88",165,225,3
sprites_3x/character/character_r01_c07_3x.png,character,1,7,472,7,81,88,"483,16,545,89",186,219,3
sprites_3x/character/character_r01_c08_3x.png,character,1,8,556,7,75,88,"561,18,619,89",174,213,3
sprites_3x/character/character_r01_c09_3x.png,character,1,9,634,7,77,88,"652,7,699,83",141,228,3
sprites_3x/character/character_r01_c10_3x.png,character,1,10,714,7,75,88,"726,13,780,85",162,216,3
sprites_3x/character/character_r01_c11_3x.png,character,1,11,792,7,77,88,"806,11,860,82",162,213,3
sprites_3x/character/character_r01_c12_3x.png,character,1,12,872,7,73,88,"883,14,932,90",147,228,3
sprites_3x/character/character_r01_c13_3x.png,character,1,13,948,7,79,88,"955,19,1002,90",141,213,3
sprites_3x/character/character_r01_c14_3x.png,character,1,14,1030,7,84,88,"1031,15,1114,93",249,234,3
sprites_3x/character/character_r02_c01_3x.png,character,2,1,8,98,73,105,"17,116,69,195",156,237,3
sprites_3x/character/character_r02_c02_3x.png,character,2,2,84,98,73,105,"89,116,140,195",153,237,3
sprites_3x/character/character_r02_c03_3x.png,character,2,3,160,98,75,105,"176,116,227,195",153,237,3
sprites_3x/character/character_r02_c04_3x.png,character,2,4,238,98,75,105,"246,120,307,195",183,225,3
sprites_3x/character/character_r02_c05_3x.png,character,2,5,316,98,75,105,"328,119,384,195",168,228,3
sprites_3x/character/character_r02_c06_3x.png,character,2,6,394,98,75,105,"404,120,463,196",177,228,3
sprites_3x/character/character_r02_c07_3x.png,character,2,7,472,98,81,105,"485,120,537,196",156,228,3
sprites_3x/character/character_r02_c08_3x.png,character,2,8,556,98,75,105,"565,117,614,196",147,237,3
sprites_3x/character/character_r02_c09_3x.png,character,2,9,634,98,77,105,"634,101,707,198",219,291,3
sprites_3x/character/character_r02_c10_3x.png,character,2,10,714,98,73,105,"714,101,780,198",198,291,3
sprites_3x/character/character_r02_c11_3x.png,character,2,11,790,98,79,105,"794,101,869,199",225,294,3
sprites_3x/character/character_r02_c12_3x.png,character,2,12,872,98,85,105,"882,101,957,199",225,294,3
sprites_3x/character/character_r02_c13_3x.png,character,2,13,960,98,67,105,"970,121,1018,197",144,228,3
sprites_3x/character/character_r02_c14_3x.png,character,2,14,1030,98,84,105,"1034,101,1114,200",240,297,3
sprites_3x/creatures_props/creatures_props_r03_c01_3x.png,creatures_props,3,1,8,206,79,115,"11,217,86,302",225,255,3
sprites_3x/creatures_props/creatures_props_r03_c02_3x.png,creatures_props,3,2,90,206,82,115,"95,215,170,299",225,252,3
sprites_3x/creatures_props/creatures_props_r03_c03_3x.png,creatures_props,3,3,175,206,98,115,"180,220,268,295",264,225,3
sprites_3x/creatures_props/creatures_props_r03_c04_3x.png,creatures_props,3,4,276,206,97,115,"281,221,370,295",267,222,3
sprites_3x/creatures_props/creatures_props_r03_c05_3x.png,creatures_props,3,5,376,206,91,115,"383,224,460,298",231,222,3
sprites_3x/creatures_props/creatures_props_r03_c06_3x.png,creatures_props,3,6,470,206,83,115,"485,218,543,304",174,258,3
sprites_3x/creatures_props/creatures_props_r03_c07_3x.png,creatures_props,3,7,556,206,78,115,"565,215,630,305",195,270,3
sprites_3x/creatures_props/creatures_props_r03_c08_3x.png,creatures_props,3,8,637,206,70,115,"649,206,693,312",132,318,3
sprites_3x/creatures_props/creatures_props_r03_c09_3x.png,creatures_props,3,9,710,206,69,115,"715,243,774,310",177,201,3
sprites_3x/creatures_props/creatures_props_r03_c10_3x.png,creatures_props,3,10,782,206,67,115,"793,206,836,313",129,321,3
sprites_3x/creatures_props/creatures_props_r03_c11_3x.png,creatures_props,3,11,852,206,76,115,"860,208,921,316",183,324,3
sprites_3x/creatures_props/creatures_props_r03_c12_3x.png,creatures_props,3,12,931,206,86,115,"937,211,1013,321",228,330,3
sprites_3x/creatures_props/creatures_props_r03_c13_3x.png,creatures_props,3,13,1020,206,94,115,"1024,212,1110,321",258,327,3
